,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9576,274334465,1,0,0,5,36.0,8,9,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,84298.8
9577,272782003,1,0,0,16,40.0,6,17,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,84298.8
9578,274999847,2,1,0,7,38.0,7,12,45290.64,75981.08,-0.3277083060607361,0.0,-0.007204233258597777,1,1,1,84298.8
9579,274027541,1,0,0,8,34.1,7,9,45290.64,75981.08,-0.3277083060607361,0.0,-0.00723549500242733,1,1,1,84298.8
9580,274867186,2,1,0,12,45.0,4,5,77524.52,75981.08,-0.3277083060607361,0.0,-0.007204233258597777,1,1,1,44493.82
9581,275004245,2,1,0,5,42.0,4,5,77524.52,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,44493.82
9582,274258362,2,0,0,8,38.0,1,9,45290.64,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,0,1,1,44493.82
9583,257797297,1,0,0,9,42.0,12,17,45290.64,75981.08,-0.31990647038492265,0.0,-0.0071886023866829995,1,1,1,84298.8
9584,239631724,2,1,0,12,54.0,2,17,45290.64,64696.19,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9585,270109616,1,0,0,10,35.0,7,9,45290.64,75583.96,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,84298.8
9586,274472907,0,0,0,15,20.0,5,5,77524.52,64696.19,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,173624.09
9587,274177554,1,0,0,9,33.0,5,5,45290.64,75981.08,-0.30430279903329577,0.0,-0.007548112440722867,1,1,1,173624.09
9588,274777364,2,1,0,8,55.0,3,17,45290.64,75981.08,-0.28089729200585545,0.0,-0.007110448027109115,1,1,1,84298.8
9589,272533230,2,1,0,12,54.2,12,17,45290.64,64696.19,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,44493.82
9590,274619917,2,0,1,7,46.0,1,5,45290.64,75981.08,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,173624.09
